price,metro_stations_list,metro_station,walk_time,rooms,floor,floors_total,square_total,square_kitchen,ceiling_height,wall_material,renovation,year_built,owners_count,infrastructure,yard_improvement,publication_date,edit_date,ad_id,url,square_living
19000000,"ЦСКА: 9 мин, Аэропорт: 20 мин, Полежаевская: 21 мин",ЦСКА,9 мин,,10.0,13.0,32.0,,3.0,Монолитный,Дизайнерский ремонт,2017.0,,Магазины,"Видеонаблюдение, Парковка",,,320489997,https://www.cian.ru/sale/flat/320489997/,
37500000,"Шелепиха: 12 мин, Шелепиха: 8 мин, Москва-Сити: 21 мин",Шелепиха,8 мин,2.0,2.0,33.0,67.8,14.5,4.4,Монолитный,,,,"Школы, Торговые центры",Парковка,,,323433999,https://www.cian.ru/sale/flat/323433999/,34.0
9100000,"Моссельмаш: 10 мин, Грачёвская: 13 мин, Беломорская: 5 мин",Беломорская,5 мин,1.0,3.0,12.0,32.6,9.8,2.75,Блочный,Есть ремонт,,,"Школы, Магазины",Парковка,,,323521248,https://www.cian.ru/sale/flat/323521248/,17.0
32600000,"Водный стадион: 10 мин, Балтийская: 10 мин, Войковская: 20 мин",Водный стадион,10 мин,3.0,8.0,9.0,68.8,12.0,,Кирпичный,,,,,Парковка,,,323567303,https://www.cian.ru/sale/flat/323567303/,50.0
5990000,"Беговая: 4 мин, Полежаевская: 18 мин, Хорошёвская: 19 мин",Беговая,4 мин,,6.0,6.0,17.5,,2.7,Кирпичный,Есть ремонт,,,Магазины,,,,323004532,https://www.cian.ru/sale/flat/323004532/,12.0
18500000,"Пятницкое шоссе: 25 мин, Митино: 8 мин, Волоколамская: 8 мин",Митино,8 мин,2.0,13.0,24.0,61.9,15.0,,,,2023.0,,Школы,Парковка,,,323440077,https://www.cian.ru/sale/flat/323440077/,30.7
17000000,"Москворечье: 24 мин, Царицыно: 19 мин, Кантемировская: 20 мин",Царицыно,19 мин,3.0,2.0,9.0,58.0,6.0,2.64,Панельный,,,,,Парковка,,,323312585,https://www.cian.ru/sale/flat/323312585/,45.0
44883369,"Шелепиха: 13 мин, Шелепиха: 15 мин, Москва-Сити: 25 мин",Шелепиха,13 мин,2.0,11.0,19.0,71.0,20.0,3.0,Монолитный,Есть ремонт,2018.0,1.0,"Школы, Магазины",Парковка,,,319642354,https://www.cian.ru/sale/flat/319642354/,
10000000,"Подрезково: 17 мин, Новоподрезково: 19 мин, Сходня: 7 мин",Сходня,7 мин,,4.0,19.0,89.2,11.6,,Панельный,,,,"Школы, Магазины",,,,316613088,https://www.cian.ru/sale/flat/316613088/,54.0
15000000,"Калитники: 10 мин, Новохохловская: 19 мин, Волгоградский проспект: 23 мин",Калитники,10 мин,,1.0,21.0,28.5,1.0,,Монолитный,,2025.0,1.0,,Парковка,,,321605321,https://www.cian.ru/sale/flat/321605321/,12.8
83000000,"Москва-Сити: 7 мин, Деловой центр: 3 мин, Деловой центр: 4 мин, Москва-Сити: 7 мин, Деловой центр: 8 мин, Москва-Сити: 13 мин, Шелепиха: 19 мин",Деловой центр,3 мин,,46.0,75.0,114.2,10.0,3.0,Монолитный,,2014.0,,Торговые центры,Парковка,,,305062355,https://www.cian.ru/sale/flat/305062355/,
18000000,"Кузьминки: 13 мин, Текстильщики: 16 мин, Волжская: 20 мин",Кузьминки,13 мин,3.0,1.0,17.0,74.0,10.0,2.65,Панельный,Есть ремонт,,,"Школы, Магазины",Парковка,,,321025975,https://www.cian.ru/sale/flat/321025975/,45.0
12250000,"Царицыно: 9 мин, Лебедянская: 12 мин, Бирюлёво: 23 мин, Орехово: 10 мин, Домодедовская: 10 мин",Царицыно,9 мин,2.0,10.0,12.0,52.4,6.0,,Панельный,,,1.0,Школы,,,,322226995,https://www.cian.ru/sale/flat/322226995/,30.0
15500000,,,8 мин,1.0,2.0,3.0,38.0,11.3,2.8,Монолитный,Есть ремонт,2021.0,,"Школы, Магазины",Парковка,,,323419381,https://www.cian.ru/sale/flat/323419381/,
